1|Lehrämter der Grundschule bzw. Primarstufe
2|Übergreifende Lehrämter der Primarstufe und aller oder einzelner Schularten der Sekundarstufe I
3|Lehrämter für alle oder einzelne Schularten der Sekundarstufe I
4|Lehrämter der Sekundarstufe II [allgemeinbildende Fächer] oder für das Gymnasium
5|Lehrämter der Sekundarstufe II [berufliche Fächer] oder für die beruflichen Schulen
6|Sonnderpädagogische Lehrämter
7|Andere
