1|Allergien
2|Atemwegserkrankungen
3|Hauterkrankungen
4|Blindheit und Sehbehinderungen
5|Diabetes, Ernährungs- und Stoffwechselkrankheiten
6|Hirnschädigung
7|Organische Nervenkrankheiten
8|Epilepsie
9|Gehörlosigkeit und Schwerhörigkeit sowie Sprachbehinderung
10|Behinderungen im Stütz- und Bewegungsapparat, Querschnittslähmung, Spastische Lähmungen
11|Herz- und Kreislaufstörungen, Erkrankungen der inneren Organe
12|Geistige Behinderung
13|Lernbehinderung
14|Psychische Behinderungen
