1|Abschlussprüfung
2|Bachelor/Bakkalaureus
3|Diplom
4|Diplom(FH)
5|Fakultätsexamen
6|Kirchlicher Abschluss
7|Konzertexamen
8|Lizentiatenprüfung
9|Magister
10|Master
11|Magister/Master
12|Staatsexamen
13|Theologische Prüfung
14|Magister der Theologie
15|Magister (Masterstudiengang)
16|Promotion
