0|Nicht zugelassen
1|Zugelassen
3|Qualifizierung während Kurzarbeit 
4|Ausgleichsmaßnahmen für reglementierte Berufe (Modul 1)
5|Ausgleichsqualifizierungen für Ausbildungsberufe des dualen Systems (Modul 2)
6|Brückenmaßnahmen für akademische Berufe (Modul 3)
7|Vorbereitungsmaßnahmen auf die Externenprüfung (Modul 4)
8|Qualifizierungsmaßnahmen zum berufsbezogenen Sprachlernen
9|Sonstige Qualifizierungsmaßnahmen
